# A1 Retail Sentiment page, read from the bar chart's SVG text nodes and paired by y-position.
# Page data stamp 02.09.2026 18:00:36 local (UTC+3) = 2026-09-02 15:00Z.
# A1's own script stamp on the page: "2 sept. 2026, 10:31:42" with the note
# "This script is interrupted every morning, returning at 10:00h". Their update
# log renders in US Eastern, so that is 14:31Z - 15 minutes before the board
# capture a1-top-setups-2026-09-02-1446.csv, not simultaneous with it.
# longPct + shortPct = 100 on every row. "Iron Ore" is not a Top Setups row.
# The page's Contrarian Signal column was not in the SVG and is not captured here.
symbol,longPct,shortPct
DAX,100,0
Iron Ore,89.56,10.44
COPPER,87,13
NZDUSD,70,30
DOW,67.7,32.3
SPX500,62.24,37.76
GBPUSD,59,41
USDCHF,53,47
USDJPY,52,48
CHINA50,49.7,50.3
USDCAD,48,52
EURUSD,45,55
NIKKEI,42.31,57.69
USOIL,39.79,60.21
AUDUSD,28,72
NASDAQ,9.32,90.68
RUSSELL,8.88,91.12
SILVER,8.07,91.93
GOLD,7.73,92.27
UK100,0,100
