# A1 EdgeFinder -> Economic Data -> Economic Growth Data -> Consumer Confidence.
# Read from the DOM 2026-09-03; A1 refresh stamp 03.09.2026 13:46:20 (= 10:46Z).
# Page p_i3yq86ivpd, currency selected by URL parameter df1150 (multi-select).
#
# WHY THIS ONE MATTERED. Consumer Confidence is 24 points of board gap and the leg
# solver flags it DISPUTED, meaning at least one captured cell must be misread.
# It is also the column where none of the eight Economic Heatmaps carries a row -
# so until now there was no A1 surface publishing the underlying numbers at all.
# This page is that surface.
#
# EIGHT CURRENCIES, EIGHT DIFFERENT SURVEYS, AND THEY ARE NOT ALL ALIVE:
#   USD  Conference Board       31 pts, forecasts throughout, last 25 aug. 2026
#   CHF  SECO                   31 pts, forecasts throughout, last  7 aug. 2026
#   EUR  EU flash + final       60 pts, forecasts throughout, last 21 aug. 2026
#   GBP  GfK                    34 pts, forecasts throughout, last 24 iul. 2026
#   CAD  index ~45-50           32 pts, NO forecast on any point, last 8 iul. 2026
#   NZD  quarterly index        15 pts, NO forecast, last 17 iun. 2026   (78d stale)
#   AUD  index CHANGE, not level 25 pts, NO forecast, last 13 ian. 2026 (233d stale)
#   JPY  index ~35-39           14 pts, forecasts, last 29 ian. 2025    (582d stale)
#
# THE FINDING. lib/scoring/discrete.ts currently reasons that Westpac and
# ANZ-Roy Morgan consumer confidence are series "A1 does not have at all", on the
# evidence that no heatmap carries a row for them. That evidence was sound and the
# conclusion is now too narrow: A1 HAS the AUD, NZD and JPY series - it stopped
# updating them. AUD is 233 days stale on the capture date and JPY is 582.
#
# That distinction matters for decision 1 (drop our staleness cap to match A1).
# A1 clearly does score old prints - their CA services row is 125 days old and
# still scored. But these three are older still and appear on NO heatmap, which
# suggests their pipeline drops a series at some age or on some staleness flag
# rather than scoring it forever. Nothing here establishes where that line is, and
# THIS FILE IS NOT EVIDENCE FOR PICKING ONE. It is evidence that "A1 has no such
# series" was the wrong reason, and that the right question is what they do with a
# series that stops.
#
# AUD IS A DIFFERENT QUANTITY. Its values are around 0,01 to 0,13, not an index
# level - that is a monthly CHANGE. Any comparison that treats it as a level, ours
# or theirs, is comparing two different things.
#
# CAVEATS: EUR, GBP and CAD render roughly twice as many data points as axis
# labels (their chart plots flash and final, or repeats a point, and the axis
# subsamples), so their rows carry UNALIGNED rather than a guessed date; the
# span is given per currency above and the VALUES are in order and exact. The
# other five align 1:1 and their dates are read verbatim.
currency,series,idx,date,actual,forecast
USD,Conference Board Consumer Confidence,1,30 ian. 2024,114.8,114.2
USD,Conference Board Consumer Confidence,2,27 feb. 2024,106.7,114.8
USD,Conference Board Consumer Confidence,3,26 mar. 2024,104.7,106.9
USD,Conference Board Consumer Confidence,4,30 apr. 2024,97,104
USD,Conference Board Consumer Confidence,5,28 mai 2024,102,96
USD,Conference Board Consumer Confidence,6,25 iun. 2024,100.4,100
USD,Conference Board Consumer Confidence,7,30 iul. 2024,100.3,99.7
USD,Conference Board Consumer Confidence,8,27 aug. 2024,103.3,100.9
USD,Conference Board Consumer Confidence,9,24 sept. 20…,98.7,103.9
USD,Conference Board Consumer Confidence,10,29 oct. 2024,108.7,99.5
USD,Conference Board Consumer Confidence,11,26 nov. 2024,111.7,111.8
USD,Conference Board Consumer Confidence,12,23 dec. 2024,104.7,112.9
USD,Conference Board Consumer Confidence,13,28 ian. 2025,104.1,105.7
USD,Conference Board Consumer Confidence,14,25 feb. 2025,98.3,102.7
USD,Conference Board Consumer Confidence,15,25 mar. 2025,92.9,94.2
USD,Conference Board Consumer Confidence,16,29 apr. 2025,86,87.7
USD,Conference Board Consumer Confidence,17,27 mai 2025,98,87.1
USD,Conference Board Consumer Confidence,18,24 iun. 2025,93,99.4
USD,Conference Board Consumer Confidence,19,29 iul. 2025,97.2,95.9
USD,Conference Board Consumer Confidence,20,26 aug. 2025,97.4,96.4
USD,Conference Board Consumer Confidence,21,30 sept. 20…,94.2,96
USD,Conference Board Consumer Confidence,22,25 nov. 2025,88.7,93.5
USD,Conference Board Consumer Confidence,23,23 dec. 2025,89.1,91.7
USD,Conference Board Consumer Confidence,24,27 ian. 2026,84.5,90.6
USD,Conference Board Consumer Confidence,25,24 feb. 2026,91.2,87.4
USD,Conference Board Consumer Confidence,26,31 mar. 2026,91.8,87.8
USD,Conference Board Consumer Confidence,27,28 apr. 2026,92.8,89
USD,Conference Board Consumer Confidence,28,26 mai 2026,93.1,91.9
USD,Conference Board Consumer Confidence,29,30 iun. 2026,91.2,94.4
USD,Conference Board Consumer Confidence,30,28 iul. 2026,90.8,92.4
USD,Conference Board Consumer Confidence,31,25 aug. 2026,89.4,90.3
CHF,SECO Consumer Confidence,1,15 feb. 2024,-26,-33
CHF,SECO Consumer Confidence,2,11 mar. 2024,-42,-35
CHF,SECO Consumer Confidence,3,5 apr. 2024,-38,-41
CHF,SECO Consumer Confidence,4,13 mai 2024,-24,-40
CHF,SECO Consumer Confidence,5,10 iun. 2024,-38,-37
CHF,SECO Consumer Confidence,6,5 iul. 2024,-37,-35
CHF,SECO Consumer Confidence,7,9 aug. 2024,-19,-36
CHF,SECO Consumer Confidence,8,6 sept. 2024,-35,-33
CHF,SECO Consumer Confidence,9,11 oct. 2024,-34,-33
CHF,SECO Consumer Confidence,10,8 nov. 2024,-27,-33
CHF,SECO Consumer Confidence,11,9 dec. 2024,-37,-38
CHF,SECO Consumer Confidence,12,13 ian. 2025,-30,-38
CHF,SECO Consumer Confidence,13,7 feb. 2025,-21,-31
CHF,SECO Consumer Confidence,14,10 mar. 2025,-34,-28
CHF,SECO Consumer Confidence,15,11 apr. 2025,-35,-32
CHF,SECO Consumer Confidence,16,9 mai 2025,-39,-34
CHF,SECO Consumer Confidence,17,10 iun. 2025,-37,-38
CHF,SECO Consumer Confidence,18,11 iul. 2025,-32,-35
CHF,SECO Consumer Confidence,19,8 aug. 2025,-28,-30
CHF,SECO Consumer Confidence,20,5 sept. 2025,-40,-37
CHF,SECO Consumer Confidence,21,10 oct. 2025,-37,-38
CHF,SECO Consumer Confidence,22,7 nov. 2025,-37,-36
CHF,SECO Consumer Confidence,23,8 dec. 2025,-34,-34
CHF,SECO Consumer Confidence,24,12 ian. 2026,-31,-33
CHF,SECO Consumer Confidence,25,9 feb. 2026,-30,-30
CHF,SECO Consumer Confidence,26,9 mar. 2026,-30,-29
CHF,SECO Consumer Confidence,27,10 apr. 2026,-43,-32
CHF,SECO Consumer Confidence,28,8 mai 2026,-40,-46
CHF,SECO Consumer Confidence,29,15 iun. 2026,-38,-38
CHF,SECO Consumer Confidence,30,10 iul. 2026,-36,-35
CHF,SECO Consumer Confidence,31,7 aug. 2026,-33,-34
JPY,Consumer Confidence (ABANDONED - last point 29 ian. 2025),1,5 ian. 2024,37.2,36.6
JPY,Consumer Confidence (ABANDONED - last point 29 ian. 2025),2,31 ian. 2024,38,37.6
JPY,Consumer Confidence (ABANDONED - last point 29 ian. 2025),3,1 mar. 2024,39.1,38.4
JPY,Consumer Confidence (ABANDONED - last point 29 ian. 2025),4,9 apr. 2024,39.5,39.6
JPY,Consumer Confidence (ABANDONED - last point 29 ian. 2025),5,2 mai 2024,38.3,39.7
JPY,Consumer Confidence (ABANDONED - last point 29 ian. 2025),6,29 mai 2024,36.2,39.1
